지역명,전용면적,연도,월,평당분양가격
제주,102m²~,2016,2,8494.199999999999
서울,모든면적,2016,3,20370.899999999998
서울,60m²,2016,3,21615.0
서울,60m²~85m²,2016,3,20219.1
서울,85m²~102m²,2016,3,23690.699999999997
서울,102m²~,2016,3,21024.3
인천,모든면적,2016,3,10527.0
인천,60m²,2016,3,10965.9
인천,60m²~85m²,2016,3,10266.3
인천,85m²~102m²,2016,3,11698.5
인천,102m²~,2016,3,11246.4
경기,모든면적,2016,3,10609.5
경기,60m²,2016,3,11355.3
경기,60m²~85m²,2016,3,10754.699999999999
경기,85m²~102m²,2016,3,11097.9
경기,102m²~,2016,3,12144.0
부산,모든면적,2016,3,10487.4
부산,60m²,2016,3,9738.3
부산,60m²~85m²,2016,3,10236.599999999999
부산,85m²~102m²,2016,3,9758.1
부산,102m²~,2016,3,12299.099999999999
대구,모든면적,2016,3,10292.699999999999
대구,60m²,2016,3,11025.3
대구,60m²~85m²,2016,3,10408.199999999999
대구,85m²~102m²,2016,3,8378.699999999999
대구,102m²~,2016,3,9051.9
광주,모든면적,2016,3,8547.0
광주,60m²,2016,3,8151.0
광주,60m²~85m²,2016,3,8583.3
광주,85m²~102m²,2016,3,
광주,102m²~,2016,3,
대전,모든면적,2016,3,8098.2
대전,60m²,2016,3,8530.5
대전,60m²~85m²,2016,3,8012.4
대전,85m²~102m²,2016,3,8121.299999999999
대전,102m²~,2016,3,
울산,모든면적,2016,3,10117.8
울산,60m²,2016,3,8527.199999999999
울산,60m²~85m²,2016,3,10147.5
울산,85m²~102m²,2016,3,8787.9
울산,102m²~,2016,3,10088.1
세종,모든면적,2016,3,8811.0
세종,60m²,2016,3,8583.3
세종,60m²~85m²,2016,3,8847.3
세종,85m²~102m²,2016,3,8811.0
세종,102m²~,2016,3,9081.6
강원,모든면적,2016,3,7240.2
강원,60m²,2016,3,7421.7
강원,60m²~85m²,2016,3,7329.299999999999
강원,85m²~102m²,2016,3,
강원,102m²~,2016,3,7755.0
충북,모든면적,2016,3,6534.0
충북,60m²,2016,3,6352.5
충북,60m²~85m²,2016,3,6669.299999999999
충북,85m²~102m²,2016,3,7510.799999999999
충북,102m²~,2016,3,7461.299999999999
충남,모든면적,2016,3,6979.5
충남,60m²,2016,3,7345.799999999999
충남,60m²~85m²,2016,3,6976.2
충남,85m²~102m²,2016,3,8385.3
충남,102m²~,2016,3,8065.2
전북,모든면적,2016,3,6438.299999999999
전북,60m²,2016,3,6303.0
전북,60m²~85m²,2016,3,6464.7
전북,85m²~102m²,2016,3,7487.7
전북,102m²~,2016,3,7566.9
전남,모든면적,2016,3,6339.299999999999
전남,60m²,2016,3,6606.599999999999
전남,60m²~85m²,2016,3,6332.7
전남,85m²~102m²,2016,3,7464.599999999999
전남,102m²~,2016,3,7180.799999999999
경북,모든면적,2016,3,7190.7
경북,60m²,2016,3,7170.9
경북,60m²~85m²,2016,3,7230.299999999999
경북,85m²~102m²,2016,3,8827.5
경북,102m²~,2016,3,7636.2
경남,모든면적,2016,3,7863.9
경남,60m²,2016,3,7807.799999999999
경남,60m²~85m²,2016,3,7893.599999999999
경남,85m²~102m²,2016,3,10074.9
경남,102m²~,2016,3,8728.5
제주,모든면적,2016,3,7636.2
제주,60m²,2016,3,
제주,60m²~85m²,2016,3,7636.2
제주,85m²~102m²,2016,3,
제주,102m²~,2016,3,
서울,모든면적,2016,4,20595.3
서울,60m²,2016,4,21839.399999999998
서울,60m²~85m²,2016,4,20446.8
서울,85m²~102m²,2016,4,26716.8
서울,102m²~,2016,4,20964.899999999998
인천,모든면적,2016,4,10685.4
인천,60m²,2016,4,10965.9
인천,60m²~85m²,2016,4,10385.099999999999
인천,85m²~102m²,2016,4,11698.5
인천,102m²~,2016,4,15968.699999999999
경기,모든면적,2016,4,10556.699999999999
경기,60m²,2016,4,11220.0
경기,60m²~85m²,2016,4,10701.9
경기,85m²~102m²,2016,4,11203.5
경기,102m²~,2016,4,11916.3
부산,모든면적,2016,4,10457.699999999999
부산,60m²,2016,4,9810.9
부산,60m²~85m²,2016,4,10187.099999999999
부산,85m²~102m²,2016,4,9669.0
부산,102m²~,2016,4,12299.099999999999
대구,모든면적,2016,4,10335.599999999999
대구,60m²,2016,4,11025.3
대구,60m²~85m²,2016,4,10454.4
대구,85m²~102m²,2016,4,8378.699999999999
대구,102m²~,2016,4,9051.9
광주,모든면적,2016,4,8910.0
광주,60m²,2016,4,8580.0
광주,60m²~85m²,2016,4,8896.8
광주,85m²~102m²,2016,4,9088.199999999999
광주,102m²~,2016,4,11609.4
대전,모든면적,2016,4,8081.7
대전,60m²,2016,4,8345.699999999999
대전,60m²~85m²,2016,4,8002.5
대전,85m²~102m²,2016,4,
대전,102m²~,2016,4,
울산,모든면적,2016,4,10137.599999999999
울산,60m²,2016,4,8533.8
울산,60m²~85m²,2016,4,10150.8
울산,85m²~102m²,2016,4,8787.9
울산,102m²~,2016,4,9791.1
세종,모든면적,2016,4,8844.0
세종,60m²,2016,4,8764.8
세종,60m²~85m²,2016,4,8906.699999999999
세종,85m²~102m²,2016,4,8758.199999999999
세종,102m²~,2016,4,8956.199999999999
강원,모든면적,2016,4,7062.0
강원,60m²,2016,4,7071.9
강원,60m²~85m²,2016,4,7203.9
강원,85m²~102m²,2016,4,
강원,102m²~,2016,4,7755.0
충북,모든면적,2016,4,6494.4
충북,60m²,2016,4,6319.5
충북,60m²~85m²,2016,4,6633.0
충북,85m²~102m²,2016,4,7510.799999999999
충북,102m²~,2016,4,7461.299999999999
충남,모든면적,2016,4,7157.7
충남,60m²,2016,4,7573.5
충남,60m²~85m²,2016,4,7128.0
충남,85m²~102m²,2016,4,8385.3
충남,102m²~,2016,4,8705.4
전북,모든면적,2016,4,6299.7
전북,60m²,2016,4,6270.0
전북,60m²~85m²,2016,4,6322.799999999999
전북,85m²~102m²,2016,4,7487.7
전북,102m²~,2016,4,7854.0
전남,모든면적,2016,4,6352.5
전남,60m²,2016,4,6563.7
전남,60m²~85m²,2016,4,6345.9
전남,85m²~102m²,2016,4,7464.599999999999
전남,102m²~,2016,4,7180.799999999999
경북,모든면적,2016,4,7184.099999999999
경북,60m²,2016,4,7164.299999999999
경북,60m²~85m²,2016,4,7223.7
경북,85m²~102m²,2016,4,8827.5
경북,102m²~,2016,4,7636.2
경남,모든면적,2016,4,7890.299999999999
경남,60m²,2016,4,7962.9
경남,60m²~85m²,2016,4,7883.7
경남,85m²~102m²,2016,4,10480.8
경남,102m²~,2016,4,8778.0
제주,모든면적,2016,4,8972.699999999999
